sample_id,robot_family,urdf_relative,embodiment_json_relative,render_relative,split,notes
so101_brukg_5e97ca9,so_101,data/urdf_snapshots/so_101/brukg_SO-100-arm_5e97ca9/robot.urdf,data/urdf_snapshots/so_101/brukg_SO-100-arm_5e97ca9/embodiment.json,data/renders/so101_brukg_5e97ca9/preview.png,train,SO-100/SO-101; brukg/SO-100-arm@5e97ca9; pilot label + matplotlib STL preview
a1_ros1_pkg_2026-04-25,unitree_a1,data/urdf_snapshots/unitree_a1/a1_ros1_pkg_2026-04-25/robot.urdf,data/urdf_snapshots/unitree_a1/a1_ros1_pkg_2026-04-25/embodiment.json,data/renders/a1_ros1_pkg_2026-04-25/preview.png,val,Unitree A1; ROS1 a1_description snapshot; DAE meshes — use URDF viewer; matplotlib preview path reserved (no PNG yet)
nao_jrl_v40_6f4e94b,nao,data/urdf_snapshots/nao/jrl_v40_6f4e94b/robot.urdf,data/urdf_snapshots/nao/jrl_v40_6f4e94b/embodiment.json,data/renders/nao_jrl_v40_6f4e94b/preview.png,val,NAO V40; jrl-umi3218/nao_description@6f4e94b; DAE + textureNAO.png; matplotlib preview path reserved
r1_unitree_ros_202c598,unitree_r1,data/urdf_snapshots/unitree_r1/unitree_ros_202c598/robot.urdf,data/urdf_snapshots/unitree_r1/unitree_ros_202c598/embodiment.json,data/renders/r1_unitree_ros_202c598/preview.png,val,Unitree R1; unitree_ros robots/r1_description @ 202c598; STL meshes; matplotlib preview path reserved
h1_unitree_ros_202c598,unitree_h1,data/urdf_snapshots/unitree_h1/unitree_ros_202c598/robot.urdf,data/urdf_snapshots/unitree_h1/unitree_ros_202c598/embodiment.json,data/renders/h1_unitree_ros_202c598/preview.png,val,Unitree H1; unitree_ros robots/h1_description @ 202c598; DAE meshes; upstream URDF used package://h1_description/meshes/*.STL while snapshot maps to local meshes/*.dae; matplotlib preview path reserved
h2_unitree_ros_202c598,unitree_h2,data/urdf_snapshots/unitree_h2/unitree_ros_202c598/robot.urdf,data/urdf_snapshots/unitree_h2/unitree_ros_202c598/embodiment.json,data/renders/h2_unitree_ros_202c598/preview.png,val,Unitree H2; unitree_ros robots/h2_description @ 202c598; STL meshes; matplotlib preview path reserved
pepper_jrl_b953b44,pepper,data/urdf_snapshots/pepper/jrl_b953b44/robot.urdf,data/urdf_snapshots/pepper/jrl_b953b44/embodiment.json,data/renders/pepper_jrl_b953b44/preview.png,val,SoftBank Pepper; jrl-umi3218/pepper_description@b953b44; DAE+STL; juliette_head.png placeholder from face texture; matplotlib preview reserved
lekiwi_sig_uiuc_f93df541,lekiwi,data/urdf_snapshots/lekiwi/sig_uiuc_f93df541/robot.urdf,data/urdf_snapshots/lekiwi/sig_uiuc_f93df541/embodiment.json,data/renders/lekiwi_sig_uiuc_f93df541/preview.png,val,LeKiwi; SIGRobotics-UIUC/LeKiwi URDF @ f93df541; large STL pack (~59MB); matplotlib preview reserved
fetch_ros_d22b98f,fetch,data/urdf_snapshots/fetch/fetch_ros_d22b98f/robot.urdf,data/urdf_snapshots/fetch/fetch_ros_d22b98f/embodiment.json,data/renders/fetch_ros_d22b98f/preview.png,val,Fetch; ZebraDevs/fetch_ros @ d22b98f; DAE+STL+PNG; CC BY-NC-SA 4.0 per package.xml; matplotlib preview reserved
pr2_common_9a8e4fb,pr2,data/urdf_snapshots/pr2/pr2_common_9a8e4fb/robot.urdf,data/urdf_snapshots/pr2/pr2_common_9a8e4fb/embodiment.json,data/renders/pr2_common_9a8e4fb/preview.png,val,PR2; PR2/pr2_common pr2_description @ 9a8e4fb; xacro-expanded robot.urdf + meshes + materials; BSD; matplotlib preview reserved
misty_ros_74b5706,misty,data/urdf_snapshots/misty/misty_ros_74b5706/robot.urdf,data/urdf_snapshots/misty/misty_ros_74b5706/embodiment.json,data/renders/misty_ros_74b5706/preview.png,val,Misty II; R4Robotics/Misty-ROS @ 74b5706; xacro-expanded robot.urdf + STL meshes; MIT; matplotlib preview reserved
